#date precip TMax Tmin
   
19480101 0.47 51 42
19480102 0.59 45 36
19480103 0.42 45 35
19480104 0.31 45 34
19480105 0.17 45 32
19480106 0.44 48 39
19480107 0.41 50 40
19480108 0.04 48 35
19480109 0.12 50 31
19480110 0.74 43 34
19480111 0.01 42 32
19480112 0.00 41 26
19480113 0.00 45 29
19480114 0.00 38 26
19480115 0.00 34 31
19480116 0.00 34 28
19480117 0.00 35 29
19480118 0.00 33 28
19480119 0.00 34 27
19480120 0.00 36 29
19480121 0.00 48 32
19480122 0.21 47 44
19480123 0.00 47 43
19480124 0.10 45 34
19480125 0.00 46 30
19480126 0.00 45 32
19480127 0.00 53 33
19480128 0.00 53 25
19480129 0.22 42 34
19480130 0.03 47 30
19480131 0.21 35 27
19480201 0.03 39 30
19480202 0.00 43 26
19480203 0.20 38 26
19480204 0.14 39 31
19480205 0.00 36 26
19480206 0.00 43 20
19480207 0.06 43 27
19480208 0.56 44 35
19480209 0.00 45 32
19480210 0.00 39 27
19480211 0.00 46 23
19480212 0.00 43 26
19480213 0.00 47 35
19480214 0.50 46 39
19480215 0.35 45 37
19480216 0.84 52 37
19480217 0.13 57 46
19480218 0.01 49 32
19480219 0.00 45 30
19480220 0.74 45 35
19480221 0.46 49 37
19480222 0.11 47 38
19480223 0.00 47 36
19480224 0.05 44 36
19480225 0.98 47 41
19480226 0.09 49 37
19480227 0.00 47 35
19480228 0.00 50 32
19480229 0.00 46 34
19480301 0.19 47 32
19480302 0.00 50 31
19480303 0.00 52 28
19480304 0.00 57 31
19480305 0.00 47 40
19480306 0.06 47 41
19480307 0.16 42 34
19480308 0.11 42 33
19480309 0.00 47 33
19480310 0.00 51 31
19480311 0.08 51 31
19480312 0.06 60 37
19480313 0.02 54 35
19480314 0.00 52 34
19480315 0.00 52 36
19480316 0.00 50 33
19480317 0.01 50 36
19480318 0.13 48 35
19480319 0.00 47 33
19480320 0.06 44 33
19480321 2.04 46 37
19480322 0.03 44 30
19480323 0.00 54 31
19480324 0.40 54 36
19480325 0.33 50 35
19480326 0.00 56 36
19480327 0.00 70 38
19480328 0.00 64 39
19480329 0.00 49 39
19480330 0.00 54 38
19480331 0.00 53 40
19480401 0.17 46 37
19480402 0.34 45 33
19480403 0.03 47 32
19480404 0.19 49 31
19480405 0.08 51 32
19480406 0.09 44 34
19480407 0.00 55 30
19480408 0.11 59 32
19480409 0.54 50 39
19480410 0.18 53 38
19480411 0.00 51 38
19480412 0.03 50 39
19480413 0.01 59 39
19480414 0.00 63 42
19480415 0.33 65 47
19480416 0.00 62 43
19480417 0.37 54 44
19480418 0.00 58 41
19480419 0.00 61 37
19480420 0.00 66 39
19480421 0.09 55 44
19480422 0.24 57 43
19480423 0.02 55 42
19480424 0.70 46 40
19480425 0.02 49 34
19480426 0.00 50 32
19480427 0.00 53 31
19480428 0.05 45 38
19480429 0.00 54 33
19480430 0.16 56 35
19480501 0.01 58 38
19480502 0.08 57 35
19480503 0.59 53 42
19480504 0.00 57 42
19480505 0.56 55 45
19480506 0.27 58 42
19480507 0.00 59 40
19480508 0.02 54 42
19480509 0.00 52 41
19480510 0.26 57 43
19480511 0.00 63 44
19480512 0.39 56 42
19480513 0.14 55 43
19480514 0.03 58 43
19480515 0.00 64 43
19480516 0.29 60 47
19480517 0.00 62 43
19480518 0.01 60 45
19480519 0.10 60 40
19480520 0.00 73 44
19480521 0.00 62 47
19480522 0.00 65 48
19480523 0.00 66 50
19480524 0.00 80 51
19480525 0.00 73 51
19480526 0.00 69 48
19480527 0.83 60 50
19480528 0.88 53 48
19480529 0.30 58 48
19480530 0.00 69 44
19480531 0.00 77 46
19480601 0.00 71 46
19480602 0.00 76 49
19480603 0.01 67 52
19480604 0.00 70 49
19480605 0.00 75 48
19480606 0.00 82 53
19480607 0.00 87 59
19480608 0.00 87 60
19480609 0.00 81 57
19480610 0.00 76 55
19480611 0.92 60 53
19480612 0.18 68 50
19480613 0.11 68 51
19480614 0.00 72 50
19480615 0.00 71 50
19480616 0.09 60 52
19480617 0.01 66 51
19480618 0.00 71 50
19480619 0.00 68 52
19480620 0.76 60 52
19480621 0.01 63 50
19480622 0.00 62 49
19480623 0.00 70 47
19480624 0.00 64 50
19480625 0.00 64 48
19480626 0.00 74 50
19480627 0.00 79 52
19480628 0.00 82 57
19480629 0.00 83 56
19480630 0.00 74 53
19480701 0.00 69 45
19480702 0.00 70 44
19480703 0.00 77 47
19480704 0.24 66 49
19480705 0.27 67 50
19480706 0.44 71 51
19480707 0.09 66 51
19480708 0.00 71 48
19480709 0.00 78 51
19480710 0.00 73 55
19480711 0.00 71 54
19480712 0.00 72 50
19480713 0.00 76 50
19480714 0.00 77 51
19480715 0.00 82 51
19480716 0.00 80 55
19480717 0.00 82 55
19480718 0.05 61 54
19480719 0.09 64 55
19480720 0.00 67 54
19480721 0.00 74 55
19480722 0.00 71 53
19480723 0.01 71 53
19480724 0.00 72 49
19480725 0.00 79 48
19480726 0.34 80 52
19480727 0.00 67 51
19480728 0.00 71 53
19480729 0.00 74 51
19480730 0.00 80 57
19480731 0.00 88 57
19480801 0.00 75 54
19480802 0.00 68 55
19480803 0.01 68 55
19480804 0.00 64 50
19480805 0.36 63 49
19480806 0.00 70 51
19480807 0.00 70 48
19480808 0.00 75 51
19480809 0.00 71 55
19480810 0.00 69 54
19480811 0.00 64 53
19480812 0.00 74 56
19480813 0.06 65 53
19480814 0.00 68 49
19480815 0.41 68 53
19480816 0.05 70 54
19480817 0.07 74 55
19480818 0.00 73 55
19480819 0.00 68 52
19480820 0.01 64 52
19480821 0.11 65 55
19480822 0.01 70 54
19480823 0.11 69 50
19480824 0.34 62 53
19480825 0.00 72 55
19480826 0.01 72 52
19480827 0.24 61 53
19480828 0.00 80 55
19480829 0.05 75 57
19480830 0.03 70 54
19480831 0.00 73 51
19480901 0.00 74 50
19480902 0.08 69 52
19480903 0.05 70 51
19480904 0.00 68 50
19480905 0.00 70 45
19480906 0.00 70 45
19480907 0.00 73 50
19480908 0.00 78 56
19480909 0.00 81 57
19480910 0.00 81 55
19480911 0.00 76 54
19480912 0.00 75 52
19480913 0.00 76 52
19480914 0.08 67 50
19480915 0.47 64 49
19480916 0.00 63 45
19480917 0.00 68 45
19480918 0.00 70 41
19480919 0.00 70 47
19480920 0.00 69 52
19480921 0.34 61 49
19480922 0.36 51 43
19480923 0.07 54 40
19480924 0.00 58 38
19480925 0.00 59 37
19480926 1.51 49 44
19480927 0.06 69 44
19480928 0.83 59 42
19480929 0.00 57 39
19480930 0.00 63 41
19481001 0.00 76 41
19481002 0.03 69 48
19481003 0.35 64 52
19481004 0.21 61 45
19481005 0.00 55 42
19481006 0.14 59 45
19481007 0.03 64 46
19481008 0.00 62 41
19481009 0.00 69 38
19481010 0.66 55 48
19481011 0.00 56 43
19481012 0.00 57 42
19481013 0.00 54 39
19481014 0.00 58 42
19481015 0.00 56 38
19481016 0.00 60 41
19481017 0.00 65 40
19481018 0.00 67 42
19481019 0.00 62 43
19481020 0.00 63 40
19481021 0.00 57 43
19481022 0.00 61 45
19481023 0.19 59 44
19481024 0.13 60 44
19481025 0.18 56 42
19481026 0.04 54 36
19481027 0.00 55 32
19481028 0.09 44 35
19481029 0.00 54 40
19481030 0.20 46 43
19481031 0.08 46 41
19481101 0.00 47 37
19481102 0.66 49 41
19481103 0.07 53 36
19481104 0.18 50 35
19481105 0.09 51 39
19481106 0.00 52 34
19481107 0.00 46 34
19481108 0.00 46 27
19481109 0.00 45 27
19481110 0.00 46 30
19481111 0.00 42 31
19481112 0.07 45 38
19481113 0.15 48 41
19481114 0.87 50 41
19481115 0.43 46 39
19481116 0.67 47 37
19481117 0.07 47 35
19481118 0.07 45 34
19481119 0.22 47 39
19481120 0.09 50 41
19481121 0.03 48 40
19481122 0.00 55 40
19481123 0.33 50 41
19481124 0.05 50 42
19481125 0.54 48 32
19481126 0.00 45 32
19481127 0.49 48 36
19481128 0.49 46 36
19481129 0.20 45 37
19481130 0.29 45 39
19481201 0.78 46 38
19481202 0.00 44 34
19481203 0.01 41 31
19481204 0.11 39 30
19481205 0.35 41 33
19481206 0.25 42 36
19481207 0.29 39 35
19481208 0.39 38 32
19481209 0.84 45 34
19481210 0.16 46 39
19481211 0.17 42 38
19481212 0.02 42 35
19481213 0.30 37 33
19481214 0.02 39 33
19481215 0.01 39 31
19481216 0.00 45 29
19481217 0.00 36 24
19481218 0.00 37 24
19481219 0.73 45 36
19481220 0.00 45 32
19481221 0.00 39 31
19481222 0.16 37 28
19481223 0.00 42 19
19481224 0.00 36 16
19481225 0.00 40 29
19481226 0.00 47 22
19481227 0.00 34 21
19481228 0.33 45 31
19481229 0.29 43 34
19481230 0.46 44 35
19481231 0.46 41 32
19490101 0.00 35 26
19490102 0.03 40 22
19490103 0.00 40 17
19490104 0.00 42 20
19490105 0.00 41 28
19490106 0.03 49 37
19490107 0.52 46 26
19490108 0.00 30 18
19490109 0.00 32 13
19490110 0.00 30 12
19490111 0.00 37 17
19490112 0.00 36 19
19490113 0.00 41 19
19490114 0.00 36 25
19490115 0.00 46 28
19490116 0.00 43 26
19490117 0.03 43 33
19490118 0.02 35 29
19490119 0.00 35 24
19490120 0.00 30 20
19490121 0.03 35 22
19490122 0.01 33 21
19490123 0.00 30 16
19490124 0.00 29 17
19490125 0.00 39 17
19490126 0.10 31 26
19490127 0.00 35 24
19490128 0.00 41 16
19490129 0.00 40 26
19490130 0.00 38 28
19490131 0.00 37 29
19490201 0.00 37 23
19490202 0.10 33 25
19490203 0.03 35 27
19490204 0.11 33 24
19490205 0.06 35 21
19490206 0.06 37 31
19490207 0.00 38 31
19490208 0.00 41 33
19490209 0.43 43 34
19490210 0.96 43 30
19490211 0.02 37 27
19490212 0.00 32 21
19490213 0.00 34 18
19490214 0.18 38 30
19490215 0.12 42 33
19490216 1.83 48 41
19490217 0.07 46 33
19490218 0.01 40 31
19490219 0.32 33 29
19490220 0.15 39 26
19490221 0.97 47 36
19490222 0.47 50 44
19490223 0.00 59 39
19490224 0.00 62 37
19490225 0.00 62 35
19490226 0.00 62 34
19490227 0.00 62 32
19490228 0.00 66 30
19490301 0.00 55 38
19490302 0.00 54 41
19490303 0.00 61 38
19490304 0.00 58 34
19490305 0.00 57 38
19490306 0.00 53 41
19490307 0.00 48 40
19490308 0.06 48 38
19490309 0.00 54 33
19490310 0.00 56 39
19490311 0.00 60 41
19490312 0.60 47 43
19490313 0.08 49 41
19490314 0.19 48 41
19490315 0.06 54 38
19490316 0.34 55 42
19490317 0.28 58 43
19490318 0.33 63 44
19490319 0.65 55 44
19490320 0.27 48 41
19490321 0.00 52 37
19490322 0.00 53 33
19490323 0.00 55 33
19490324 0.00 54 36
19490325 0.16 53 38
19490326 0.03 52 37
19490327 0.00 52 32
19490328 0.00 51 30
19490329 0.49 43 35
19490330 0.00 49 35
19490331 0.00 55 30
19490401 0.07 46 38
19490402 0.00 55 38
19490403 0.00 62 34
19490404 0.00 72 40
19490405 0.02 57 40
19490406 0.00 64 36
19490407 0.00 51 38
19490408 0.00 60 43
19490409 0.00 71 41
19490410 0.00 67 43
19490411 0.00 58 43
19490412 0.00 58 42
19490413 0.00 55 40
19490414 0.00 73 35
19490415 0.00 71 42
19490416 0.00 58 45
19490417 0.00 54 39
19490418 0.00 53 45
19490419 0.20 55 43
19490420 0.23 57 43
19490421 0.01 54 42
19490422 0.25 55 40
19490423 0.16 58 43
19490424 0.00 59 41
19490425 0.01 59 43
19490426 0.00 69 40
19490427 0.06 63 43
19490428 0.10 61 46
19490429 0.00 52 39
19490430 0.07 55 38
19490501 0.81 52 43
19490502 0.11 54 40
19490503 0.00 56 37
19490504 0.00 59 38
19490505 0.00 72 36
19490506 0.00 70 46
19490507 0.00 77 47
19490508 0.00 77 47
19490509 0.00 74 46
19490510 0.00 73 44
19490511 0.00 80 48
19490512 0.00 78 51
19490513 0.00 77 50
19490514 0.00 76 47
19490515 0.00 65 49
19490516 0.00 59 45
19490517 0.00 65 45
19490518 0.00 78 48
19490519 0.27 61 47
19490520 0.00 68 48
19490521 0.00 70 48
19490522 0.00 71 52
19490523 0.00 76 48
19490524 0.00 68 51
19490525 0.00 71 47
19490526 0.00 71 46
19490527 0.10 61 51
19490528 0.00 65 47
19490529 0.00 67 45
19490530 0.00 66 47
19490531 0.01 64 47
19490601 0.06 64 47
19490602 0.00 67 46
19490603 0.00 74 45
19490604 0.00 80 50
19490605 0.00 84 52
19490606 0.00 83 53
19490607 0.00 72 45
19490608 0.00 79 47
19490609 0.07 76 50
19490610 0.00 68 52
19490611 0.00 74 47
19490612 0.00 74 46
19490613 0.00 74 47
19490614 0.00 80 47
19490615 0.00 68 43
19490616 0.09 65 44
19490617 0.16 73 44
19490618 0.00 77 46
19490619 0.02 66 49
19490620 0.03 71 52
19490621 0.00 74 49
19490622 0.00 63 51
19490623 0.00 68 51
19490624 0.01 64 47
19490625 0.01 64 45
19490626 0.28 63 46
19490627 0.01 61 45
19490628 0.17 61 45
19490629 0.02 64 45
19490630 0.00 73 43
19490701 0.00 70 45
19490702 0.00 72 48
19490703 0.00 75 45
19490704 0.00 72 43
19490705 0.00 68 50
19490706 0.00 69 45
19490707 0.00 74 50
19490708 0.00 80 49
19490709 0.00 83 54
19490710 0.00 82 50
19490711 0.00 75 52
19490712 0.00 83 49
19490713 0.00 86 50
19490714 0.00 85 57
19490715 0.00 78 55
19490716 0.00 72 54
19490717 0.00 77 51
19490718 0.07 68 53
19490719 0.07 66 53
19490720 0.00 69 52
19490721 0.00 71 50
19490722 0.00 68 54
19490723 0.54 66 55
19490724 0.05 70 52
19490725 0.11 62 54
19490726 0.11 65 51
19490727 0.09 69 50
19490728 0.00 75 51
19490729 0.00 80 51
19490730 0.00 80 55
19490731 0.00 86 56
19490801 0.00 92 62
19490802 0.00 74 55
19490803 0.00 71 55
19490804 0.02 73 55
19490805 0.00 74 53
19490806 0.08 66 54
19490807 0.01 67 53
19490808 0.00 73 54
19490809 0.00 74 51
19490810 0.00 73 53
19490811 0.01 70 57
19490812 0.06 68 49
19490813 0.00 72 51
19490814 0.00 71 48
19490815 0.00 78 50
19490816 0.00 72 58
19490817 0.00 77 54
19490818 0.00 77 52
19490819 0.00 81 50
19490820 0.00 73 52
19490821 0.00 73 55
19490822 0.00 75 49
19490823 0.00 76 50
19490824 0.25 70 49
19490825 0.00 71 53
19490826 0.00 76 48
